"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","924","343","272","1891","37"
"2010","143","848","383","213","1981","45"
"2011","103","975","354","322","1978","36"
"2012","112","1009","424","238","2280","42"
"2013","138","928","445","0","1831","48"
"2014","137","633","584","0","1628","92"
"2015","140","847","433","45","1817","51"
"2016","65","930","407","263","1585","44"
"2017","90","826","389","259","1654","47"
"2018","138","927","414","164","2350","45"
"2019","151","936","381","89","1873","41"
"2020","154","1057","397","390","2238","38"
"2021","151","1056","456","205","1766","43"
"2022","156","1032","519","187","3105","50"
