"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","26","131","0.05","890","503"
"2010","143","14","98","0.05","860","699"
"2011","104","26","135","0.05","820","509"
"2012","112","7.9","83","0.05","880","1049"
"2013","138","3.8","44","0","520","1160"
"2014","138","0.048","0.0094","0","0.05","19"
"2015","141","0.05","0","0.05","0.05","0"
"2016","65","10","81","0.05","650","802"
"2017","90","0.064","0.093","0.05","0.68","146"
"2018","138","0.05","0","0.05","0.05","0"
"2019","151","5.2","63","0.05","780","1217"
"2020","154","0.05","0","0.05","0.05","0"
"2021","151","5.6","68","0.05","840","1217"
"2022","156","0.05","0","0.05","0.05","0"
