"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","0","","","Inf","-Inf",""
"2011","0","","","Inf","-Inf",""
"2012","0","","","Inf","-Inf",""
"2013","93","0.3","0.46","0","1","153"
"2014","49","0","0","0","0",""
"2015","0","","","Inf","-Inf",""
"2016","0","","","Inf","-Inf",""
"2017","0","","","Inf","-Inf",""
"2018","133","110","36","38","321","32"
"2019","143","109","33","0","300","30"
"2020","154","119","31","45","228","26"
"2021","151","109","32","36","169","30"
"2022","156","103","26","42","199","26"
