"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","11","78","0.1","780","723"
"2010","143","19","103","0.05","950","550"
"2011","103","53","197","0.1","950","368"
"2012","112","64","216","0.05","960","340"
"2013","138","53","185","0","920","348"
"2014","138","78","657","0","7600","838"
"2015","141","13","103","0.09","920","769"
"2016","65","50","191","0.13","890","382"
"2017","90","49","196","0.11","934","397"
"2018","138","27","135","0.1","920","503"
"2019","151","24","142","0.1","990","589"
"2020","154","72","228","0.05","990","318"
"2021","151","64","224","0.05","990","350"
"2022","156","38","170","0.1","970","445"
