"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","0.88","0.34","0.18","2.1","39"
"2010","143","0.91","0.37","0.25","2.8","41"
"2011","103","0.99","0.37","0.2","1.9","38"
"2012","112","1.1","0.45","0.27","2.9","42"
"2013","138","1.4","4.7","0","56","326"
"2014","138","0.94","0.4","0","1.8","43"
"2015","141","1.2","0.55","0.27","3","45"
"2016","65","1.4","3.3","0.27","27","231"
"2017","90","1.2","1","0.27","4.8","85"
"2018","138","1.1","0.69","0.27","4.1","61"
"2019","151","1.7","1.2","0.27","8.3","74"
"2020","154","1.1","0.45","0.34","3.7","41"
"2021","151","1.5","4.4","0.35","55","294"
"2022","156","1.5","6.9","0.24","88","458"
