"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","124","12","9.6","1.6","60","78"
"2010","143","14","13","5.1","85","96"
"2011","103","11","11","3.6","82","97"
"2012","112","11","15","8.4","137","131"
"2013","138","11","11","0","95","106"
"2014","137","9.4","4.8","0","43","51"
"2015","141","8.7","2.3","0","30","26"
"2016","65","9.6","3.8","8.4","28","40"
"2017","89","11","4.5","8.4","29","40"
"2018","138","9.6","5.7","5.1","48","60"
"2019","151","8.7","8.9","5.1","80","102"
"2020","154","9.3","9","5.1","90","97"
"2021","151","9.8","13","5.1","155","137"
"2022","156","11","8.7","4.7","58","81"
