"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","52","201","0.08","970","388"
"2010","139","89","238","0.05","970","268"
"2011","103","82","242","0.05","970","293"
"2012","112","82","242","0.05","970","294"
"2013","138","78","235","0","970","302"
"2014","138","32","163","0","980","518"
"2015","141","73","234","0.05","980","319"
"2016","65","106","273","0.05","930","257"
"2017","90","93","269","0.05","990","289"
"2018","138","66","210","0.05","920","316"
"2019","151","67","229","0.05","980","343"
"2020","154","83","239","0.05","930","288"
"2021","151","90","249","0.05","970","277"
"2022","156","76","244","0.05","980","320"
