"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","23055","32843","0.0005","90000","142"
"2010","143","10358","26105","0.0005","99000","252"
"2011","103","10037","25124","0.0005","97000","250"
"2012","112","34647","36188","0.0005","98000","104"
"2013","138","25864","35151","0","98000","136"
"2014","138","29386","36072","0","98000","123"
"2015","141","20616","32381","0.0005","98000","157"
"2016","65","23823","33425","0.0005","98000","140"
"2017","90","18933","33134","0.0005","92000","175"
"2018","138","25790","36207","0.0005","99000","140"
"2019","151","18699","30920","0.0005","99000","165"
"2020","154","13217","28273","0.0005","96000","214"
"2021","151","4954","17306","0.0005","97000","349"
"2022","156","1453","8799","0.0005","64000","606"
