"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","7.3","8.9","0.54","54","121"
"2010","143","4.2","5.4","0.27","30","130"
"2011","103","8","8.4","0.37","33","104"
"2012","88","6.3","6.3","0.4","28","99"
"2013","138","5","7.2","0","37","145"
"2014","138","6.7","7.8","0","34","116"
"2015","141","6.8","8.4","0.5","52","124"
"2016","65","7.2","9","0.5","38","126"
"2017","90","7.3","8.1","0.5","32","111"
"2018","138","8.4","9.2","0.5","50","110"
"2019","151","10","11","0.5","55","102"
"2020","154","11","10","0.5","37","92"
"2021","151","12","12","0.5","41","96"
"2022","156","13","12","0.5","41","93"
