"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","70","155","0.01","960","222"
"2010","143","46","134","0.01","910","291"
"2011","103","42","137","0.01","860","329"
"2012","112","123","233","0.022","970","189"
"2013","138","64","195","0","960","303"
"2014","138","11","50","0","270","459"
"2015","141","32","141","0.02","780","437"
"2016","65","55","176","0.022","950","317"
"2017","90","99","231","0.022","980","233"
"2018","138","46","145","0.01","960","315"
"2019","151","36","147","0.01","960","403"
"2020","154","31","105","0.01","710","344"
"2021","151","93","212","0.01","970","229"
"2022","156","122","202","0.01","930","166"
