"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","13","12","0.56","67","92"
"2010","143","10","10","0.28","45","100"
"2011","103","16","15","0.5","57","91"
"2012","88","12","11","0.5","49","97"
"2013","138","7.9","9","0","45","114"
"2014","138","10","9.9","0","48","96"
"2015","141","9.4","10","0.83","59","109"
"2016","65","10","10","0.53","48","100"
"2017","90","13","22","0.94","179","167"
"2018","138","13","10","1.1","59","79"
"2019","151","14","13","0.5","70","91"
"2020","154","14","12","0.5","46","86"
"2021","151","17","14","0.63","51","84"
"2022","156","17","14","1.1","61","86"
