"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","14","11","1","67","83"
"2010","143","12","10","0.28","46","87"
"2011","104","26","21","2.1","101","83"
"2012","90","39","47","0","241","119"
"2013","138","7.9","9.2","0","45","116"
"2014","138","11","9.9","0","54","86"
"2015","141","11","10","1.5","59","89"
"2016","65","12","11","1.4","48","86"
"2017","90","13","20","0.94","179","146"
"2018","138","14","10","1.2","59","73"
"2019","151","15","13","0.74","70","87"
"2020","154","16","12","0.38","53","79"
"2021","151","18","14","1.4","51","79"
"2022","156","18","14","1.7","61","80"
