"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","123","2","2.4","0","8.9","120"
"2010","143","3","2.9","0","11","97"
"2011","103","2.3","2.3","0","9.3","101"
"2012","112","9.5","66","0","700","692"
"2013","135","3.3","2","0","11","60"
"2014","136","3.7","2.3","0","10","63"
"2015","141","3.8","2.3","0","12","61"
"2016","65","4.1","3","0.03","14","74"
"2017","37","4","2.1","0.09","7.5","54"
"2018","138","3.5","2.5","0","12","71"
"2019","151","8.2","57","0","700","694"
"2020","154","4.2","2.4","0","7.9","56"
"2021","151","3.9","2.5","0","9.8","65"
"2022","156","3.5","2.3","0","11","66"
