"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","5.2","26","0.0025","185","506"
"2010","143","207","1164","0.0025","8500","562"
"2011","103","1663","2572","0.0025","8600","155"
"2012","112","1716","2600","0.0025","9800","151"
"2013","138","1188","2139","0","8000","180"
"2014","138","815","1945","0","9000","239"
"2015","141","229","1069","0.0025","9400","467"
"2016","65","94","531","0.0025","3100","566"
"2017","90","1812","2840","0.0025","9900","157"
"2018","138","940","1849","0.0025","8800","197"
"2019","151","2068","3048","0.0025","9700","147"
"2020","154","3641","3858","0.0025","9900","106"
"2021","151","2151","3206","0.0025","9800","149"
"2022","156","3309","3452","0.0025","9800","104"
