"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","59","75","2","512","128"
"2010","143","74","124","1","950","167"
"2011","103","91","120","1","774","131"
"2012","112","54","101","6","728","188"
"2013","138","92","221","0","2220","242"
"2014","138","61","99","0","595","161"
"2015","141","35","48","6","343","137"
"2016","65","43","60","7","365","139"
"2017","90","60","123","7","1020","206"
"2018","138","44","87","7","547","196"
"2019","151","54","159","7","1750","296"
"2020","154","42","63","7","477","150"
"2021","151","72","117","7","794","162"
"2022","156","57","79","7","508","138"
