"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","103","17","114","0.1","990","687"
"2010","143","4.6","8.3","0.1","49","180"
"2011","103","6","9.9","0.1","44","166"
"2012","112","3.3","6.2","0.1","45","190"
"2013","138","2.5","4.6","0","31","184"
"2014","138","3.3","6.5","0","63","196"
"2015","141","4.4","4.2","0.1","18","97"
"2016","65","5.5","5.4","0.67","27","98"
"2017","73","6.1","4.4","0.37","27","71"
"2018","134","5.6","6.1","0.1","28","109"
"2019","151","5.6","7.5","0.1","34","135"
"2020","154","3.1","5.4","0.1","33","175"
"2021","151","4.1","8","0.1","38","198"
"2022","156","4.2","8.6","0.1","49","205"
