"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","0.36","0.86","0.1","8","238"
"2010","143","0.26","0.45","0.1","3.5","175"
"2011","103","0.48","1.3","0.1","10","271"
"2012","112","0.25","0.59","0.1","5.1","237"
"2013","138","0.33","0.83","0","7","253"
"2014","138","0.37","1","0","10","281"
"2015","141","0.17","0.38","0","3.5","227"
"2016","65","0.24","0.92","0.1","7.5","375"
"2017","90","2.2","18","0.1","170","800"
"2018","138","0.23","0.42","0.1","3.5","181"
"2019","151","0.39","1.4","0.1","16","367"
"2020","154","0.33","0.8","0.1","9","245"
"2021","151","0.41","0.77","0.1","6","189"
"2022","156","0.29","0.39","0.1","2.5","133"
