"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","644","202","185","1253","31"
"2010","143","645","267","106","1604","41"
"2011","103","605","402","4","2084","66"
"2012","111","725","256","278","1792","35"
"2013","138","607","412","0","2612","68"
"2014","138","638","254","0","1117","40"
"2015","141","666","233","241","1234","35"
"2016","65","665","220","259","1145","33"
"2017","90","599","308","209","2714","51"
"2018","138","620","234","66","1728","38"
"2019","151","621","246","230","2159","40"
"2020","154","667","227","41","1445","34"
"2021","151","717","229","253","1140","32"
"2022","156","670","228","240","1253","34"
