"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","96","25","5.5","9","36","22"
"2010","143","25","7","5","44","28"
"2011","103","29","4.2","20","37","14"
"2012","99","30","4.3","20","42","14"
"2013","138","27","6.3","0","40","23"
"2014","137","26","7.1","0","40","28"
"2015","138","27","5.5","11","40","21"
"2016","65","26","7.2","10","44","27"
"2017","84","24","5.7","6","33","24"
"2018","138","26","5","11","36","19"
"2019","151","24","5.2","10","37","22"
"2020","154","24","4.9","13","38","20"
"2021","151","25","5.3","10","39","21"
"2022","156","25","6","13","40","24"
