"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","23","3.4","16","32","15"
"2010","143","22","3.9","14","30","17"
"2011","103","24","2.6","17","31","11"
"2012","112","25","3.3","16","33","14"
"2013","138","23","3.7","0","30","16"
"2014","138","23","4.8","0","31","21"
"2015","141","24","3.5","14","31","15"
"2016","65","23","3.9","13","31","17"
"2017","90","23","3.4","14","30","15"
"2018","138","22","3.5","12","31","16"
"2019","151","22","3.3","11","33","15"
"2020","154","22","3.4","12","33","16"
"2021","151","22","3.6","13","33","17"
"2022","156","22","3.6","10","33","16"
