"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","434","46","328","550","11"
"2010","70","386","76","155","584","20"
"2011","30","384","48","273","444","13"
"2012","30","393","47","334","498","12"
"2013","36","389","71","289","523","18"
"2014","40","371","34","291","418","9.2"
"2015","40","347","93","73","408","27"
"2016","15","390","40","325","436","10"
"2017","6","402","17","384","420","4.2"
"2018","18","406","27","376","456","6.8"
"2019","35","406","44","340","481","11"
"2020","3","373","1.7","371","375","0.46"
"2021","28","395","22","344","424","5.5"
"2022","43","331","12","313","362","3.7"
