"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","3","2.1","0.41","13","68"
"2010","70","3","2","0.01","7.7","66"
"2011","40","5.8","3.1","0.36","13","53"
"2012","30","2.5","1.3","0.29","6.7","53"
"2013","36","0.79","0.69","0.27","2.6","88"
"2014","40","0.92","0.87","0.16","3.2","95"
"2015","40","0.94","0.31","0.34","1.6","33"
"2016","15","0.5","0.29","0.01","1","59"
"2017","6","0.82","0.6","0.14","1.7","73"
"2018","18","0.44","0.11","0.26","0.61","26"
"2019","35","0.25","0.073","0.14","0.45","29"
"2020","3","0.35","0.019","0.33","0.36","5.4"
"2021","28","1.2","0.95","0.27","5.3","79"
"2022","43","1.4","4.3","0.19","28","311"
