"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","350","1313","0.0025","5400","375"
"2010","70","0.0025","0","0.0025","0.0025","0"
"2011","40","2378","2449","0.0025","9100","103"
"2012","30","0.0025","0","0.0025","0.0025","0"
"2013","36","286","821","0.0025","2700","287"
"2014","40","688","1297","0.0025","3500","189"
"2015","40","103","648","0.0025","4100","632"
"2016","15","0.0025","0","0.0025","0.0025","0"
"2017","6","0.0025","0","0.0025","0.0025","0"
"2018","18","0.0025","0","0.0025","0.0025","0"
"2019","35","14","45","0.0025","187","334"
"2020","3","1767","3060","0.0025","5300","173"
"2021","28","100","529","0.0025","2800","529"
"2022","43","144","945","0.0025","6200","656"
