"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.005","0","0.005","0.005","0"
"2010","70","0.005","0","0.005","0.005","0"
"2011","30","171","294","0.15","892","172"
"2012","30","244","412","0.1","970","169"
"2013","36","2363","3997","0.005","9800","169"
"2014","40","1342","3077","0.005","9800","229"
"2015","40","147","19","119","188","13"
"2016","15","4359","4656","105","9900","107"
"2017","6","0.24","0.054","0.19","0.3","23"
"2018","18","0.23","0.045","0.13","0.27","20"
"2019","35","68","201","0.06","864","297"
"2020","3","0.32","0.026","0.29","0.34","8.1"
"2021","28","0.25","0.063","0.18","0.43","25"
"2022","43","14","90","0.11","590","648"
