"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.0005","0","0.0005","0.0005","0"
"2010","70","0.0005","0","0.0005","0.0005","0"
"2011","40","5597","19194","0.0005","76000","343"
"2012","30","1925","9475","0.0005","52000","492"
"2013","36","0.0005","0","0.0005","0.0005","0"
"2014","40","6499","19268","0.0005","68000","296"
"2015","40","1675","10594","0.0005","67000","632"
"2016","15","3400","13168","0.0005","51000","387"
"2017","6","8500","20821","0.0005","51000","245"
"2018","18","2833","12021","0.0005","51000","424"
"2019","35","16105","30976","0.0005","99000","192"
"2020","3","0.0005","0","0.0005","0.0005","0"
"2021","28","37311","36371","0.0005","87000","97"
"2022","43","7465","23722","0.0005","91000","318"
