"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","50","72","43","8.5","178","60"
"2011","20","38","18","15","72","48"
"2012","20","40","19","1.5","68","47"
"2013","28","72","208","0.08","880","289"
"2014","32","16","15","0.3","56","93"
"2015","36","17","12","0.47","44","72"
"2016","15","76","236","5.8","930","310"
"2017","6","17","7.1","8.4","25","41"
"2018","18","28","13","12","67","48"
"2019","35","34","16","13","82","46"
"2020","3","6.4","0.43","6","6.8","6.8"
"2021","28","26","16","0.71","53","61"
"2022","43","27","16","0.05","76","61"
