"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.05","0","0.05","0.05","0"
"2010","70","0.05","0","0.05","0.05","0"
"2011","30","0.05","0","0.05","0.05","0"
"2012","30","234","377","0.05","970","161"
"2013","36","19","112","0.05","670","598"
"2014","40","19","120","0.05","760","631"
"2015","40","0.05","0","0.05","0.05","0"
"2016","15","0.05","0","0.05","0.05","0"
"2017","6","0.05","0","0.05","0.05","0"
"2018","18","0.05","0","0.05","0.05","0"
"2019","35","0.25","1.2","0.05","7","473"
"2020","3","0.05","0","0.05","0.05","0"
"2021","28","24","127","0.05","670","528"
"2022","43","0.05","0","0.05","0.05","0"
