"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","80","21006","67191","3","460000","320"
"2010","70","14585","42812","3","240000","294"
"2011","40","25172","58737","40","240000","233"
"2012","28","5173873","20830662","3","110000000","403"
"2013","36","25803","38624","40","110000","150"
"2014","40","288695","1737219","90","11000000","602"
"2015","40","3210","4108","40","15000","128"
"2016","12","2114","4269","90","15000","202"
"2017","6","26982","44424","230","110000","165"
"2018","18","6404","11534","90","46000","180"
"2019","35","24281","80161","90","460000","330"
"2020","3","467","446","40","930","96"
"2021","28","22563","88164","23","460000","391"
"2022","43","1083395","7012910","9","46000000","647"
