"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.05","0","0.05","0.05","0"
"2010","70","0.05","0","0.05","0.05","0"
"2011","40","0.05","0","0.05","0.05","0"
"2012","30","0.05","0","0.05","0.05","0"
"2013","36","0.05","0","0.05","0.05","0"
"2014","40","0.05","0","0.05","0.05","0"
"2015","40","0.05","0","0.05","0.05","0"
"2016","15","0.05","0","0.05","0.05","0"
"2017","6","0.05","0","0.05","0.05","0"
"2018","18","0.05","0","0.05","0.05","0"
"2019","35","0.079","0.17","0.05","1.1","216"
"2020","3","0.05","0","0.05","0.05","0"
"2021","28","0.05","0","0.05","0.05","0"
"2022","43","0.05","0","0.05","0.05","0"
