"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","11","3.2","1.5","20","29"
"2010","70","13","3.6","6.3","27","27"
"2011","50","9.8","2.6","1.3","15","27"
"2012","30","8.7","2.2","3.8","15","26"
"2013","36","5.8","2","3","11","35"
"2014","40","5","1.6","2.6","9.8","31"
"2015","40","3.5","0.83","1.9","5.4","24"
"2016","15","4","2.2","1.6","7.6","54"
"2017","6","3.3","1.4","1.8","5.6","42"
"2018","18","3.5","1.5","1.8","6.6","44"
"2019","35","4","1.4","2.1","7.1","34"
"2020","3","4.9","0.45","4.4","5.3","9.1"
"2021","28","4.5","0.77","2.6","5.8","17"
"2022","43","4","1.2","1.4","8.3","29"
