"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","109","30","50","236","27"
"2010","70","128","39","77","298","31"
"2011","50","123","20","84","171","17"
"2012","30","121","14","80","150","11"
"2013","36","89","36","38","152","40"
"2014","40","54","8.7","35","70","16"
"2015","40","43","11","25","64","25"
"2016","15","36","16","0.25","70","46"
"2017","6","44","34","0.1","100","78"
"2018","18","36","6.2","22","46","17"
"2019","35","40","15","24","84","38"
"2020","3","38","5","33","43","13"
"2021","28","58","12","39","80","21"
"2022","43","36","12","5","87","33"
