"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","1.4","0.92","0.29","4.9","65"
"2010","70","1.8","0.76","0.36","4","42"
"2011","40","2.2","1.2","0.52","6.6","56"
"2012","20","1.5","0.86","0.16","3.1","58"
"2013","36","1.3","1.3","0.14","4.8","107"
"2014","40","0.51","0.21","0.28","1.1","40"
"2015","40","0.4","0.12","0.16","0.76","31"
"2016","15","0.31","0.18","0.11","0.79","60"
"2017","6","135","331","0.14","810","244"
"2018","18","0.25","0.11","0.1","0.44","43"
"2019","35","7.6","42","0.15","250","553"
"2020","3","0.27","0.051","0.21","0.31","19"
"2021","28","0.32","0.092","0.19","0.56","29"
"2022","43","0.31","0.16","0.16","0.96","50"
