"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","6.7","43","0.1","350","646"
"2010","70","0.51","0.22","0.31","1.8","43"
"2011","50","0.75","0.83","0.34","6.1","110"
"2012","30","0.61","0.19","0.3","1","30"
"2013","36","0.89","0.28","0.37","1.4","31"
"2014","40","0.54","0.19","0.35","1.4","36"
"2015","40","0.37","0","0.37","0.37","0"
"2016","15","0.37","0","0.37","0.37","0"
"2017","6","0.37","0","0.37","0.37","0"
"2018","18","0.3","0","0.3","0.3","0"
"2019","35","0.3","0","0.3","0.3","0"
"2020","3","0.3","0","0.3","0.3","0"
"2021","28","0.33","0.11","0.3","0.85","34"
"2022","43","0.33","0.077","0.3","0.64","24"
