"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","26123","32789","0.0005","90000","126"
"2010","70","56","272","0.0005","1700","489"
"2011","40","21310","31552","0.0005","96000","148"
"2012","30","42701","41004","0.0005","98000","96"
"2013","36","17171","35545","0.0005","94000","207"
"2014","40","12716","28437","0.0005","94000","224"
"2015","40","21812","30131","0.0005","72000","138"
"2016","15","0.0005","0","0.0005","0.0005","0"
"2017","6","0.0005","0","0.0005","0.0005","0"
"2018","18","34556","36088","0.0005","81000","104"
"2019","35","10798","25447","0.0005","92000","236"
"2020","3","33000","57158","0.0005","99000","173"
"2021","28","0.0005","0","0.0005","0.0005","0"
"2022","43","0.0005","0","0.0005","0.0005","0"
