"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.13","0.078","0.1","0.41","59"
"2010","70","0.68","0.71","0.1","2.3","104"
"2011","40","0.3","0.11","0.1","0.62","36"
"2012","30","0.39","0.16","0.1","0.61","41"
"2013","36","0.19","0.12","0.1","0.55","67"
"2014","40","0.1","0","0.1","0.1","0"
"2015","40","0.11","0.02","0.1","0.22","19"
"2016","15","0.13","0.06","0.1","0.32","47"
"2017","6","0.1","0","0.1","0.1","0"
"2018","18","0.1","0","0.1","0.1","0"
"2019","35","0.2","0.1","0.1","0.36","52"
"2020","3","0.42","0.02","0.4","0.44","4.8"
"2021","28","0.1","0.013","0.1","0.17","13"
"2022","43","0.16","0.057","0.1","0.32","36"
