"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","35","113","0.01","580","325"
"2010","70","88","173","0.022","923","196"
"2011","40","4.8","30","0.022","190","630"
"2012","30","47","159","0.022","840","339"
"2013","36","23","79","0.022","360","345"
"2014","40","0.022","0","0.022","0.022","0"
"2015","40","0.022","0","0.022","0.022","0"
"2016","15","0.022","0","0.022","0.022","0"
"2017","6","0.022","0","0.022","0.022","0"
"2018","18","0.01","0","0.01","0.01","0"
"2019","35","31","74","0.01","320","241"
"2020","3","0.01","0","0.01","0.01","0"
"2021","28","0.01","0","0.01","0.01","0"
"2022","43","27","63","0.01","230","236"
