"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","1.5","1.3","0.23","6.4","89"
"2010","70","4.4","2.2","0.7","9.6","51"
"2011","40","5.8","1.4","3.1","10","23"
"2012","20","3.2","1.1","0.5","4.5","34"
"2013","36","2.8","1.3","0.59","5.2","46"
"2014","40","2.9","1.1","0.58","5","37"
"2015","40","2.2","1.4","0.59","6.6","62"
"2016","15","1.7","0.97","0.6","4.7","57"
"2017","6","3.1","3.2","0.79","9.4","103"
"2018","18","3.7","2.5","1.2","9.6","69"
"2019","35","1.9","1.1","0.5","5.4","57"
"2020","3","1.5","0.32","1.3","1.9","21"
"2021","28","3","1.8","0.86","10","58"
"2022","43","2.6","0.61","1.4","4","23"
