"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","3.1","15","0.23","140","479"
"2010","70","5","2.6","0.7","10","52"
"2011","50","4.9","2.6","0.22","10","54"
"2012","20","3.5","1.2","0.2","5","35"
"2013","36","2.9","1.3","0.59","5.3","45"
"2014","40","2.9","1.1","0.58","5","37"
"2015","40","2.2","1.4","0.59","6.6","62"
"2016","15","1.8","0.95","0.6","4.7","53"
"2017","6","2.9","3.2","0.79","9.4","110"
"2018","18","3.7","2.5","1.2","9.6","69"
"2019","35","2.1","1.1","0.31","5.6","53"
"2020","3","2","0.31","1.7","2.3","16"
"2021","28","3","1.8","0.86","10","59"
"2022","43","2.8","0.58","1.6","4","21"
