"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","70","0.1","0","0.1","0.1","0"
"2010","70","0.1","0","0.1","0.1","0"
"2011","30","0.1","0.0044","0.1","0.12","4.3"
"2012","30","0.1","0.0087","0.1","0.14","8.4"
"2013","36","0.1","0","0.1","0.1","0"
"2014","40","0.1","0","0.1","0.1","0"
"2015","36","0.1","0","0.1","0.1","0"
"2016","15","0.1","0","0.1","0.1","0"
"2017","6","0.1","0","0.1","0.1","0"
"2018","18","0.1","0","0.1","0.1","0"
"2019","35","0.12","0.13","0.1","0.88","108"
"2020","3","0.1","0","0.1","0.1","0"
"2021","28","0.1","0","0.1","0.1","0"
"2022","43","0.1","0","0.1","0.1","0"
