"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.0025","0","0.0025","0.0025","0"
"2010","70","1036","2533","0.0025","8400","244"
"2011","30","1929","2404","0.0025","7500","125"
"2012","30","214","809","0.0025","4400","378"
"2013","36","1412","2561","0.0025","8600","181"
"2014","40","884","1946","0.0025","8400","220"
"2015","40","210","747","0.0025","2800","356"
"2016","15","0.0025","0","0.0025","0.0025","0"
"2017","6","0.0025","0","0.0025","0.0025","0"
"2018","18","417","1247","0.0025","4600","299"
"2019","35","2069","3180","0.0025","9800","154"
"2020","3","0.0025","0","0.0025","0.0025","0"
"2021","28","2032","2440","0.0025","7400","120"
"2022","43","1951","2933","0.0025","8100","150"
