"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","20","94","3.5","88","99","3.7"
"2010","30","126","24","96","179","19"
"2011","0","","","Inf","-Inf",""
"2012","0","","","Inf","-Inf",""
"2013","26","107","18","78","142","17"
"2014","40","105","27","10","147","26"
"2015","40","102","6","91","110","5.8"
"2016","15","103","13","79","117","13"
"2017","6","116","8.2","112","133","7.1"
"2018","18","86","13","65","101","15"
"2019","35","87","13","24","100","15"
"2020","3","81","0.4","80","81","0.5"
"2021","28","107","8.4","88","119","7.9"
"2022","43","90","3.8","83","97","4.2"
