"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","60","19","7.2","8","38","38"
"2010","70","27","8.1","8.5","40","30"
"2011","30","36","7.3","19","45","20"
"2012","30","27","4","13","30","15"
"2013","36","27","6.4","12","38","24"
"2014","40","17","5.2","3","40","31"
"2015","40","12","3.9","3","18","32"
"2016","15","9.7","0.43","9.1","10","4.4"
"2017","6","8.5","3.8","0.79","10","44"
"2018","18","10","0","10","10","0"
"2019","35","10","0","10","10","0"
"2020","3","10","0","10","10","0"
"2021","28","10","0","10","10","0"
"2022","43","10","0","10","10","0"
