"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","702","77","248","820","11"
"2010","70","797","123","488","1029","15"
"2011","40","786","269","72","1256","34"
"2012","30","730","70","644","872","9.6"
"2013","36","708","123","519","872","17"
"2014","40","627","46","540","710","7.4"
"2015","40","606","26","509","649","4.2"
"2016","15","581","59","470","660","10"
"2017","6","574","25","543","596","4.3"
"2018","18","554","39","501","632","7.1"
"2019","35","578","64","488","681","11"
"2020","3","525","6.4","521","532","1.2"
"2021","28","592","37","523","647","6.3"
"2022","43","497","25","441","546","5"
