"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","70","26","3.1","15","31","12"
"2010","70","28","2.8","23","35","10"
"2011","50","27","2.5","22","33","9.1"
"2012","30","27","2.4","24","32","8.8"
"2013","36","25","2.1","20","28","8.4"
"2014","40","25","4.6","16","32","18"
"2015","40","25","3.9","18","38","16"
"2016","15","24","1.5","22","27","6.1"
"2017","6","26","1.8","24","28","6.7"
"2018","18","23","4","15","28","18"
"2019","35","24","2.9","17","29","12"
"2020","3","17","0","17","17","0"
"2021","28","24","2.8","18","28","11"
"2022","43","26","2.8","22","32","11"
